time,count,max_block,fee_total_usd,gas_used,gas_fee_usd
2019-01-01,5871,6994485,39776.6714,33003248434,1.2052350385915953e-06
2019-01-02,5931,7000416,48158.7716,35435884801,1.3590396252400325e-06
2019-01-03,5580,7005996,49904.2074,33988178009,1.4682813355510103e-06
2019-01-04,5554,7011550,52656.9707,33803233584,1.5577495143814877e-06
2019-01-05,5620,7017170,75027.6004,32361006658,2.318456937786648e-06
2019-01-06,5585,7022755,45816.4915,30186019014,1.5178050301615037e-06
2019-01-07,5610,7028365,51856.291900000004,31934490080,1.6238334092729625e-06
2019-01-08,5562,7033927,46743.5602,31200726241,1.4981561595375815e-06
2019-01-09,5610,7039537,44125.5216,31321818347,1.408779053347212e-06
2019-01-10,5568,7045105,54090.2876,32220047118,1.6787774208369176e-06
2019-01-11,5566,7050671,41404.9443,33344122823,1.2417463947031719e-06
2019-01-12,5541,7056212,30717.6564,29728716137,1.0332654884402889e-06
2019-01-13,5635,7061847,32877.8681,29568223014,1.1119324987650745e-06
2019-01-14,5629,7067476,58013.5636,33493945330,1.7320612137035455e-06
2019-01-15,5619,7073095,53669.9863,31595826103,1.698641653648805e-06
2019-01-16,5528,7078623,51480.0967,32260837960,1.595745800646277e-06
2019-01-17,5561,7084184,40016.345,31063271496,1.2882205599353206e-06
2019-01-18,5619,7089803,44953.1847,32042569120,1.4029207374617656e-06
2019-01-19,5683,7095486,39465.4388,33993234769,1.1609792086038942e-06
2019-01-20,5599,7101085,37699.5884,33253363997,1.1337075071081867e-06
2019-01-21,5094,7106179,41754.3242,34000481665,1.2280509614951069e-06
2019-01-22,5072,7111251,56187.893,34711970508,1.618689235376323e-06
2019-01-23,4991,7116242,40624.2098,31785798550,1.2780616392599643e-06
2019-01-24,5086,7121328,41353.812,31798921264,1.3004784551234832e-06
2019-01-25,5106,7126434,37788.0878,30989472859,1.2193846591690422e-06
2019-01-26,5055,7131489,31411.0996,33323587600,9.426085803558559e-07
2019-01-27,5013,7136502,31188.1101,31556022389,9.883409802267015e-07
2019-01-28,4884,7141386,41907.4751,33482861686,1.2516097188169117e-06
2019-01-29,4870,7146256,34687.1688,32936747325,1.0531449404438117e-06
2019-01-30,4949,7151205,36633.4992,33023211511,1.1093257597855804e-06
2019-01-31,4931,7156136,42363.3946,35336403533,1.1988598262536148e-06
2019-02-01,4848,7160984,38170.498,32833526352,1.1625464042693333e-06
2019-02-02,4935,7165919,30685.2802,30351303681,1.011003696002985e-06
2019-02-03,4858,7170777,28022.9791,28133598262,9.960680762919184e-07
2019-02-04,4938,7175715,28645.7951,28226086060,1.014869544403281e-06
2019-02-05,4900,7180615,29018.0398,28099781826,1.0326784734374826e-06
2019-02-06,4892,7185507,30464.8854,28740956755,1.0599816025505168e-06
2019-02-07,4918,7190425,31629.4238,29501173599,1.0721412046154036e-06
2019-02-08,4923,7195348,34169.353,30377537618,1.1248230001286605e-06
2019-02-09,4900,7200248,34744.9141,29765635448,1.1672827936329028e-06
2019-02-10,4298,7204546,32744.7666,26794646878,1.2220637483707763e-06
2019-02-11,4195,7208741,40237.6148,27701803516,1.4525269005232665e-06
2019-02-12,4273,7213014,38207.8766,28609441186,1.3354988778563416e-06
2019-02-13,4169,7217183,43657.4749,29666839926,1.471591683135035e-06
2019-02-14,4166,7221349,48248.2517,29139449129,1.6557708927991588e-06
2019-02-15,4158,7225507,49162.8768,30227583358,1.6264243230343654e-06
2019-02-16,4224,7229731,43738.3263,30057634803,1.455148636499987e-06
2019-02-17,4139,7233870,44001.0454,29940808518,1.4696011089195263e-06
2019-02-18,4196,7238066,65812.9761,31223109142,2.1078290378030026e-06
2019-02-19,4288,7242354,652906.8252000001,32033122859,2.038224084719732e-05
2019-02-20,4242,7246596,66772.6763,31734662772,2.1040928268163165e-06
2019-02-21,4252,7250848,66933.4693,32176024711,2.080228054931767e-06
2019-02-22,4238,7255086,61994.4042,31980015481,1.9385357782841657e-06
2019-02-23,4353,7259439,56935.4658,31537945053,1.8053004310940068e-06
2019-02-24,4254,7263693,73459.4236,31415391506,2.3383258994550504e-06
2019-02-25,4238,7267931,69202.8623,32480104651,2.1306231320245877e-06
2019-02-26,4281,7272212,72416.4498,32866137799,2.2033757128044225e-06
2019-02-27,4281,7276493,64942.3921,32659898378,1.9884444020115436e-06
2019-02-28,4366,7280859,73430.403,33089095724,2.2191722497493297e-06
2019-03-01,5994,7286853,53241.1636,39492806014,1.3481230880663754e-06
2019-03-02,6402,7293255,48416.5104,38675982064,1.2518495411411047e-06
2019-03-03,6379,7299634,43902.9474,36276738891,1.210223100039789e-06
2019-03-04,6384,7306018,55989.9293,41866940088,1.3373303418476472e-06
2019-03-05,6429,7312447,54180.4099,40004931167,1.3543432851771365e-06
2019-03-06,6399,7318846,56686.1088,37869758674,1.4968700827480748e-06
2019-03-07,6438,7325284,56637.7012,37836693708,1.4968987945166258e-06
2019-03-08,6388,7331672,55604.2178,38885568407,1.4299448375811933e-06
2019-03-09,6380,7338052,48164.3872,38357994669,1.2556544630557885e-06
2019-03-10,6513,7344565,43119.6066,36334557582,1.1867381762578908e-06
2019-03-11,6389,7350954,47422.6476,38991552922,1.2162287481820958e-06
2019-03-12,6453,7357407,47438.4499,39113647769,1.212836250409708e-06
2019-03-13,6399,7363806,46368.903,41253884612,1.123988769448202e-06
2019-03-14,6422,7370228,42554.2056,40441525287,1.0522403716973337e-06
2019-03-15,6424,7376652,43883.7455,39845970884,1.101334577283982e-06
