symbol,funding_centrality,borrowing_centrality,date
cBAT,0.3145252368747054,0.40982581507934857,2019-05-07
cETH,0.5911532240784092,0.5460122246101703,2019-05-07
cREP,0.10178053191328428,0.0878964857745454,2019-05-07
cSAI,0.5608645085402442,0.6476896327026391,2019-05-07
cUSDC,0.45490940524946527,0.3190095317194496,2019-05-07
cZRX,0.14050231467683952,0.07013357270910639,2019-05-07
cBAT,0.03459043343409086,0.3924421286080611,2019-05-08
cETH,0.45977967956679944,0.6249971215358331,2019-05-08
cREP,0.011038778608523639,0.08301108535325129,2019-05-08
cSAI,0.43451303908172234,0.6663950298375882,2019-05-08
cUSDC,0.7734663846166211,0.002009611568891157,2019-05-08
cZRX,0.015246779174096569,0.06626129445667807,2019-05-08
cBAT,0.0207245586313943,0.3359382164733947,2019-05-09
cETH,0.3249237736502844,0.6300214659493598,2019-05-09
cREP,0.00719962648645933,0.0772432609425865,2019-05-09
cSAI,0.3819042955810812,0.6847772530446906,2019-05-09
cUSDC,0.8648661282091399,0.10737951071457467,2019-05-09
cZRX,0.009944277655919105,0.061657928816301125,2019-05-09
cBAT,0.024560064549516973,0.3869733746407162,2019-05-10
cETH,0.32671910451367464,0.6160061217927884,2019-05-10
cREP,0.007180788485376067,0.07490616304629846,2019-05-10
cSAI,0.38513834161280963,0.6709514628155325,2019-05-10
cUSDC,0.8626528571544698,0.10689307826943795,2019-05-10
cZRX,0.009918271764733824,0.059792443790553124,2019-05-10
cBAT,0.024108071637565478,0.3609624563038446,2019-05-11
cETH,0.35318453605957884,0.6327032319059918,2019-05-11
cREP,0.007036537561111436,0.06976489220228069,2019-05-11
cSAI,0.4001199865850883,0.6721456269763791,2019-05-11
cUSDC,0.8452452345472454,0.09820655517871198,2019-05-11
cZRX,0.009719121347618912,0.05568944197307827,2019-05-11
cBAT,0.024108071637565478,0.3609624563038446,2019-05-12
cETH,0.35318453605957884,0.6327032319059918,2019-05-12
cREP,0.007036537561111436,0.06976489220228069,2019-05-12
cSAI,0.4001199865850883,0.6721456269763791,2019-05-12
cUSDC,0.8452452345472454,0.09820655517871198,2019-05-12
cZRX,0.009719121347618912,0.05568944197307827,2019-05-12
cBAT,0.025972779526957545,0.3643884655831671,2019-05-13
cETH,0.35735857295057055,0.6461796352202429,2019-05-13
cREP,0.006936094844269836,0.06631778918468734,2019-05-13
cSAI,0.41899739119369417,0.658228081129178,2019-05-13
cUSDC,0.8342155202390911,0.09502808202358214,2019-05-13
cZRX,0.009889773293059354,0.05459242487885983,2019-05-13
cBAT,0.024592841697706688,0.3514374048328686,2019-05-14
cETH,0.3586472218491059,0.6608157022189988,2019-05-14
cREP,0.007319850132305825,0.06922172331443135,2019-05-14
cSAI,0.42877271332732514,0.6508069710971698,2019-05-14
cUSDC,0.8287088772503379,0.09060455131700018,2019-05-14
cZRX,0.010456541665304358,0.05712978958917086,2019-05-14
cBAT,0.017629561636534303,0.32918780735745656,2019-05-15
cETH,0.2693348032181584,0.7084747699708466,2019-05-15
cREP,0.004735946689039935,0.05849276213773163,2019-05-15
cSAI,0.3634584554095629,0.6157510644430725,2019-05-15
cUSDC,0.8916152261553321,0.06926382904107421,2019-05-15
cZRX,0.006765561334355499,0.048276632061866435,2019-05-15
cBAT,0.013639982766876054,0.2388831781534836,2019-05-16
cETH,0.2574478960036145,0.7743385985466268,2019-05-16
cREP,0.5939377333086745,0.2304277989326583,2019-05-16
cSAI,0.30608239785798286,0.5186243348439692,2019-05-16
cUSDC,0.697895419721889,0.14146572425272913,2019-05-16
cZRX,0.0052961795948779635,0.035409598197222864,2019-05-16
cBAT,0.33770811746095114,0.4524038113662213,2019-05-17
cETH,0.5794201754972723,0.6349085914859367,2019-05-17
cREP,0.14302206297293069,0.18893082856883217,2019-05-17
cSAI,0.390398418792701,0.5233043237195314,2019-05-17
cUSDC,0.6142632195590758,0.28270280672405923,2019-05-17
cZRX,0.006320508819311494,0.05252353550303189,2019-05-17
cBAT,0.05558263682506963,0.09946947692887441,2019-05-18
cETH,0.5452623416062921,0.6184402819101356,2019-05-18
cREP,-0.0,0.23424688741334965,2019-05-18
cSAI,0.38518760909204286,0.7052145509839396,2019-05-18
cUSDC,0.7424093977533464,0.2290921697257743,2019-05-18
cZRX,0.00763814369233138,0.05436038500988801,2019-05-18
cBAT,0.0561749147151977,0.10322801267925248,2019-05-19
cETH,0.5610460099056159,0.5829478718829983,2019-05-19
cREP,-0.0,0.24960767324216615,2019-05-19
cSAI,0.3446037626354739,0.7257523869538628,2019-05-19
cUSDC,0.7505067834154844,0.23964204109042536,2019-05-19
cZRX,0.007718066503015516,0.05537987447433467,2019-05-19
cBAT,0.05451111102716921,0.17876951592347975,2019-05-20
cETH,0.5658392755328682,0.6474309826873662,2019-05-20
cREP,-0.0,0.24229398132493163,2019-05-20
cSAI,0.3835153950755527,0.59857070872414,2019-05-20
cUSDC,0.7278222164592818,0.35661626128980045,2019-05-20
cZRX,0.006724284896067278,0.0686014452313887,2019-05-20
cBAT,0.028710588957046694,0.04739764063044079,2019-05-21
cETH,0.31415244964143746,0.8426572675197241,2019-05-21
cREP,0.0498124816275509,0.11193807688015642,2019-05-21
cSAI,0.8690684196115191,0.3640373276125897,2019-05-21
cUSDC,0.37776960040238,0.3770323682221629,2019-05-21
cZRX,0.0035872253750302945,0.021805447042040575,2019-05-21
cBAT,0.02144665563043486,2.2272054217858963e-06,2019-05-22
cETH,0.3304276744361703,0.8072595970153992,2019-05-22
cREP,0.039083148113252066,0.07781374654150292,2019-05-22
cSAI,0.7971458187412146,0.487121858651896,2019-05-22
cUSDC,0.5033706160102313,0.32368505469377035,2019-05-22
cZRX,0.002582065725409781,0.014739201544276723,2019-05-22
cBAT,0.0385193887351784,0.6821840467205391,2019-05-23
cETH,0.5493425378658849,0.4969347348125122,2019-05-23
cREP,0.0011838034564045075,0.40336999619246217,2019-05-23
cSAI,0.8338804398600899,0.35351577039647514,2019-05-23
cUSDC,0.0371623358751636,0.00020400559503098477,2019-05-23
cZRX,6.483022625431677e-05,1.9266665795278676e-05,2019-05-23
cBAT,0.02042472130819714,0.28411339505103694,2019-05-24
cETH,0.3085315648795922,0.8958768360708406,2019-05-24
cREP,0.0008126353129384073,0.1696027110195666,2019-05-24
cSAI,0.9499827836266056,0.29651031946301615,2019-05-24
cUSDC,0.043710840599078246,8.444684205872267e-05,2019-05-24
