healthBin,account,borrowUSD,pctAccount,pctBorrowUSD,date
"(0.0, 0.5]",0,0.0,0.0,0.0,2019-05-07
"(0.5, 1.0]",0,0.0,0.0,0.0,2019-05-07
"(1.0, 1.5]",0,0.0,0.0,0.0,2019-05-07
"(1.5, 2.0]",1,0.671686673775,33.33333333333333,0.1144310194228925,2019-05-07
"(2.0, 2.5]",0,0.0,0.0,0.0,2019-05-07
"(2.5, 3.0]",0,0.0,0.0,0.0,2019-05-07
"(3.0, 3.5]",0,0.0,0.0,0.0,2019-05-07
"(3.5, 4.0]",0,0.0,0.0,0.0,2019-05-07
"(4.0, 4.5]",0,0.0,0.0,0.0,2019-05-07
"(4.5, 5.0]",0,0.0,0.0,0.0,2019-05-07
"(5.0, 5.5]",0,0.0,0.0,0.0,2019-05-07
"(5.5, 6.0]",0,0.0,0.0,0.0,2019-05-07
"(6.0, 6.5]",0,0.0,0.0,0.0,2019-05-07
"(6.5, 7.0]",0,0.0,0.0,0.0,2019-05-07
"(7.0, 7.5]",0,0.0,0.0,0.0,2019-05-07
"(7.5, 8.0]",0,0.0,0.0,0.0,2019-05-07
"(8.0, 8.5]",0,0.0,0.0,0.0,2019-05-07
"(8.5, 9.0]",0,0.0,0.0,0.0,2019-05-07
"(9.0, 9.5]",0,0.0,0.0,0.0,2019-05-07
"(9.5, 10.0]",0,0.0,0.0,0.0,2019-05-07
"(10.0, inf]",2,586.3078553791605,66.66666666666666,99.8855689805771,2019-05-07
"(0.0, 0.5]",0,0.0,0.0,0.0,2019-05-08
"(0.5, 1.0]",0,0.0,0.0,0.0,2019-05-08
"(1.0, 1.5]",1,2.0246833782142364,20.0,0.04290770971258062,2019-05-08
"(1.5, 2.0]",1,4715.99281622952,20.0,99.94276287478881,2019-05-08
"(2.0, 2.5]",1,0.6260011862357691,20.0,0.013266408697653343,2019-05-08
"(2.5, 3.0]",0,0.0,0.0,0.0,2019-05-08
"(3.0, 3.5]",0,0.0,0.0,0.0,2019-05-08
"(3.5, 4.0]",0,0.0,0.0,0.0,2019-05-08
"(4.0, 4.5]",0,0.0,0.0,0.0,2019-05-08
"(4.5, 5.0]",0,0.0,0.0,0.0,2019-05-08
"(5.0, 5.5]",0,0.0,0.0,0.0,2019-05-08
"(5.5, 6.0]",0,0.0,0.0,0.0,2019-05-08
"(6.0, 6.5]",0,0.0,0.0,0.0,2019-05-08
"(6.5, 7.0]",0,0.0,0.0,0.0,2019-05-08
"(7.0, 7.5]",0,0.0,0.0,0.0,2019-05-08
"(7.5, 8.0]",0,0.0,0.0,0.0,2019-05-08
"(8.0, 8.5]",0,0.0,0.0,0.0,2019-05-08
"(8.5, 9.0]",0,0.0,0.0,0.0,2019-05-08
"(9.0, 9.5]",0,0.0,0.0,0.0,2019-05-08
"(9.5, 10.0]",0,0.0,0.0,0.0,2019-05-08
